mbid,verse_name,poetry_form,t_s,t_e,score_s,score_e,mizan,orchestra,lyric
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.4.2, ,1621.8969789984108,1654.5415570098369,1638.0,1667.5,bṭāyḥī,/BrihiOrchestra,ẓannīt namūt yā ḥabībī
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.5.1, ,1654.5415570098369,1689.176566571908,1668.5,1699.5,bṭāyḥī,/BrihiOrchestra,an‘im wajud biwiṣālik
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.5.2, ,1689.176566571908,1757.7301803959028,1700.5,1763.5,bṭāyḥī,/BrihiOrchestra,yā mumriḍī waṭabībī
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.1.1, ,1964.3145754738669,1977.0258134307794,1764.5,1775.5,bṭāyḥī,/BrihiOrchestra,yā ‘ashīyā
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.1.2, ,1977.0258134307794,2001.6670462855677,1777.0,1807.5,bṭāyḥī,/BrihiOrchestra,mahlan ‘alá majālis al-furjah
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.2.1, ,2040.024516311933,2052.9782625199823,1860.5,1871.5,bṭāyḥī,/BrihiOrchestra,qif hunayyā
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.2.2, ,2052.9782625199823,2077.0982436719323,1873.0,1903.5,bṭāyḥī,/BrihiOrchestra,umatti‘ al-abṣār bi-al-nuzhah
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.3.2, ,2127.998076443884,2152.1781756943096,1974.0,2003.5,bṭāyḥī,/BrihiOrchestra,qad ṭāb waqtī wāizdahat sā‘atī
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.4.1, ,2152.1781756943096,2175.8616903287743,2004.5,2035.5,bṭāyḥī,/BrihiOrchestra,qum ‘āyin al-rawḍ fī ḥullah
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.4.2, ,2200.830356920148,2216.9865529498607,2068.5,2088.5,bṭāyḥī,/BrihiOrchestra,al-‘ashīyah ‘alá al-ghuṣūn tujlá
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.5.1, ,2216.9865529498607,2229.9849675018977,2090.5,2108.5,bṭāyḥī,/BrihiOrchestra,qad tahayya’at
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1.5.2, ,2229.9849675018977,2251.8639110837285,2110.0,2139.5,bṭāyḥī,/BrihiOrchestra,bi-al-manẓar al-bahīj wal-nafaḥāt
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.1.1, ,2308.2797735720565,2325.303016189608,2140.5,2155.5,bṭāyḥī,/BrihiOrchestra,nafsi (unknown)
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.1.2, ,2325.303016189608,2334.3746125844877,2156.5,2163.5,bṭāyḥī,/BrihiOrchestra,'ashiyatan ya (unknown)
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.2.1, ,2359.509095851606,2376.4203434519372,2188.5,2203.5,bṭāyḥī,/BrihiOrchestra,unknown
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.2.2, ,2376.4203434519372,2383.9240096057265,2204.5,2211.5,bṭāyḥī,/BrihiOrchestra,unkown
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.3.1, ,2409.122888480392,2425.5828186974836,2236.5,2251.5,bṭāyḥī,/BrihiOrchestra,unẓur ilá al-shams
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.3.2, ,2425.5828186974836,2433.422469902935,2252.5,2259.5,bṭāyḥī,/BrihiOrchestra,kīf ‘awwalat ‘alá al-maghīb
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.4.1, ,2433.422469902935,2440.3661609706205,2260.5,2267.5,bṭāyḥī,/BrihiOrchestra,shamsun ‘alá al-aghṣān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.4.2, ,2448.653792244955,2456.829428502069,2276.5,2283.5,bṭāyḥī,/BrihiOrchestra,fī thawbihā al-muza‘far
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.5.1, ,2456.829428502069,2472.132246481276,2284.5,2298.5,bṭāyḥī,/BrihiOrchestra,taṣfar watatlawwan
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1.5.2, ,2472.132246481276,2479.2916790826393,2298.75,2307.5,bṭāyḥī,/BrihiOrchestra,kālttibr aw kāljawhar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.1.1, ,2479.2916790826393,2489.6330817290536,2308.5,2318.5,bṭāyḥī,/BrihiOrchestra,yā nqltin min tuffāḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.1.2, ,2489.6330817290536,2494.273454711419,2319.5,2323.5,bṭāyḥī,/BrihiOrchestra,fī al-bustān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.1.3, ,2494.273454711419,2503.951946931781,2324.5,2334.5,bṭāyḥī,/BrihiOrchestra,al-ward ḥīn yaftaḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.1.4, ,2503.951946931781,2508.459737828936,2335.5,2339.5,bṭāyḥī,/BrihiOrchestra,wayazyān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.1.3(1), ,2508.459737828936,2517.873065878877,2340.5,2350.5,bṭāyḥī,/BrihiOrchestra,al-ward ḥīn yaftaḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.1.4(1), ,2517.873065878877,2522.2482746908213,2351.5,2355.5,bṭāyḥī,/BrihiOrchestra,wayazyān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.2.1, ,2563.89476939376,2573.5732616141217,2404.5,2414.5,bṭāyḥī,/BrihiOrchestra,umzuj ku’ūs al-rāḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.2.2, ,2573.5732616141217,2578.0810525112765,2415.5,2419.5,bṭāyḥī,/BrihiOrchestra,kāl‘iqyān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.2.3, ,2578.0810525112765,2587.229216390797,2420.5,2430.5,bṭāyḥī,/BrihiOrchestra,wa‘ammir al-aqdāḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.2.4, ,2587.229216390797,2591.471843117531,2431.5,2435.5,bṭāyḥī,/BrihiOrchestra,lilnnudmān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.2.3(1), ,2591.471843117531,2600.3548428266304,2436.5,2446.5,bṭāyḥī,/BrihiOrchestra,wa‘ammir al-aqdāḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.2.4(1), ,2600.3548428266304,2604.3323053829436,2447.5,2451.5,bṭāyḥī,/BrihiOrchestra,lilnnudmān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.3.1, ,2645.432751798179,2654.873976025692,2500.5,2510.5,bṭāyḥī,/BrihiOrchestra,ishrab waṭib wāifraḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.3.2, ,2654.873976025692,2658.8514385820054,2511.5,2515.5,bṭāyḥī,/BrihiOrchestra,yā insān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.3.3, ,2658.8514385820054,2667.867020376315,2516.5,2526.5,bṭāyḥī,/BrihiOrchestra,bihā taṭīb al-arwāḥ
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.3.4, ,2667.867020376315,2671.844482932628,2527.5,2531.5,bṭāyḥī,/BrihiOrchestra,fī al-abdān
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.4.1, ,2671.844482932628,2680.594900556517,2532.5,2542.5,bṭāyḥī,/BrihiOrchestra,yā ayyuhā al-sāqī
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.4.2, ,2680.594900556517,2684.9701093684616,2543.5,2547.5,bṭāyḥī,/BrihiOrchestra,adirhā
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.4.3, ,2697.8796538160277,2707.027817695548,2564.5,2574.5,bṭāyḥī,/BrihiOrchestra,min khamrik al-bāqī
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.5.1, ,2710.74011608144,2719.7556978757502,2580.5,2590.5,bṭāyḥī,/BrihiOrchestra,tajid jamī‘ al-azhār
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.5.2, ,2719.7556978757502,2723.7331604320634,2591.5,2595.5,bṭāyḥī,/BrihiOrchestra,maḥtaflah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.5.3, ,2723.7331604320634,2732.6161601411627,2596.5,2606.5,bṭāyḥī,/BrihiOrchestra,wāqṭif jamī‘ al-anwār
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.5.4, ,2732.6161601411627,2736.461040612265,2607.5,2611.5,bṭāyḥī,/BrihiOrchestra,bi-al-jumlah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.5.3(1), ,2736.461040612265,2744.946294065733,2612.5,2622.5,bṭāyḥī,/BrihiOrchestra,wāqṭif jamī‘ al-anwār
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2.5.4(1), ,2744.946294065733,2748.9237566220463,2623.5,2627.5,bṭāyḥī,/BrihiOrchestra,bi-al-jumlah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.1.1, ,2748.9237566220463,2758.311488095299,2628.5,2640.5,bṭāyḥī,/BrihiOrchestra,al-bustān nazīh muzawwaq
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.1.2, ,2758.311488095299,2775.8123233430765,2641.25,2663.5,bṭāyḥī,/BrihiOrchestra,ayn ‘āshiq yaṣbar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.2.1, ,2802.5310541727927,2811.4285246673594,2700.5,2712.5,bṭāyḥī,/BrihiOrchestra,miskīn man yakūn ya‘shaq
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.2.2, ,2811.4285246673594,2828.204547734767,2713.25,2735.5,bṭāyḥī,/BrihiOrchestra,māylū fī al-anām yu‘dhar
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.3.1, ,2853.962951123551,2862.7894057889803,2772.5,2784.5,bṭāyḥī,/BrihiOrchestra,naḥlaf lak anā yā ‘ashīq
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.3.2, ,2862.7894057889803,2871.1774173226845,2785.25,2795.5,bṭāyḥī,/BrihiOrchestra,mā nahwá malūl ghaddār
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.4.1, ,2871.1774173226845,2879.4420757455987,2796.5,2807.5,bṭāyḥī,/BrihiOrchestra,lkn āsh bīdī na‘mal
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.4.2, ,2896.588158145376,2905.2228759006593,2820.5,2831.5,bṭāyḥī,/BrihiOrchestra,qad shamamtanī zahrak
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3.5.2, ,2905.2228759006593,2920.8887209709596,2845.25,2867.5,bṭāyḥī,/BrihiOrchestra,wahw zahrun lā yusham
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.1.1, ,2920.8887209709596,2926.1929047349195,2868.5,2875.5,bṭāyḥī,/BrihiOrchestra,idhā nadhkur al-‘ahd al-qadīm
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.1.2, ,2926.1929047349195,2928.7833200615046,2877.0,2880.5,bṭāyḥī,/BrihiOrchestra,ma‘ al-nadīm
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4.1.3, ,2928.7833200615046,2933.4927786412095,2881.0,2886.5,bṭāyḥī,/BrihiOrchestra,tash‘al jimārī bayn al-ḍulū‘
